county,area_sqkm,population,total_facilities,density_per_10k,Clinic,Dentist,Doctors,Hospital,Pharmacy
Bomi,1908.74811162,84119,24,2.85,22,0,0,2,0
Bong,8704.85070026,333481,128,3.84,58,0,2,8,60
Gbarpolu,9839.2062422,83388,20,2.4,18,0,0,1,1
Grand Bassa,7848.77383655,221693,46,2.07,42,0,0,3,1
Grand Cape Mount,4724.73887776,135938,57,4.19,36,0,7,7,7
Grand Gedeh,10734.17687914,125258,73,5.83,41,0,0,3,29
Grand Kru,3852.28089226,57106,11,1.93,10,0,0,1,0
Lofa,9872.54666333,276863,129,4.66,103,0,10,10,6
Margibi,2555.81842443,209923,34,1.62,28,0,0,6,0
Maryland,2271.57795005,135938,48,3.53,46,0,0,2,0
Montserrado,1857.04169815,1118241,310,2.77,251,1,1,21,36
Nimba,11426.62651057,462026,164,3.55,91,1,3,15,54
River Gee,5054.33139326,66789,30,4.49,29,0,0,1,0
Rivercess,5532.59799401,71509,34,4.75,30,0,0,4,0
Sinoe,9661.46819572,102391,61,5.96,58,0,0,3,0
